取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0120170401172058000,2017/04/01,18:52:49,11110,10550,822,11510,0,0,0,0,0,0,0,0,400,0,-6,2,23,01:31:51,"カウンター9，カウンター10",0002,"中山 洋子","焼き物","銀だら照り焼","","",900,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,"未設定"
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","たこ唐揚","","",650,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","茶碗蒸し","","",500,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","グラス生","","",350,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,4,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","手巻330","","",330,2,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","燗酒・冷や2合","","",780,2,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","緑茶ハイ","","",380,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",880,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",600,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",500,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","マグロ三種にぎり","","",850,1,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","光物三種にぎり","","",500,2,0,0,-,0,84D13C3AED314151B510472CBCB18081,
RB0120170401172058000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,84D13C3AED314151B510472CBCB18081,
000220170401185458029,2017/04/01,18:55:31,900,900,66,0,0,0,0,0,0,0,0,900,0,0,0,1,1,00:00:00,"伝票00020031",0002,"中山 洋子","出前","コスモ","","",900,1,0,0,-,0,9FE14C6D17FA4517B5B7AB7B1148BD50,"未設定"
RB0120170401182816000,2017/04/01,19:06:50,2570,2450,190,3000,0,0,0,0,0,0,0,0,430,0,-6,1,8,00:38:33,"カウンター11",0002,"中山 洋子","ビール","アサヒ中瓶","","",500,1,0,0,-,0,7875F8EF834C4FACA5956476DA3B7AC2,"未設定"
RB0120170401182816000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,2,0,0,-,0,7875F8EF834C4FACA5956476DA3B7AC2,
RB0120170401182816000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,2,0,0,-,0,7875F8EF834C4FACA5956476DA3B7AC2,
RB0120170401182816000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,1,0,0,-,0,7875F8EF834C4FACA5956476DA3B7AC2,
RB0120170401182816000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,7875F8EF834C4FACA5956476DA3B7AC2,
RB0120170401182816000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","ヒレ酒","","",700,1,0,0,-,0,7875F8EF834C4FACA5956476DA3B7AC2,
RB0120170401181359000,2017/04/01,19:13:21,8950,8410,662,10000,0,0,0,0,0,0,0,0,1050,0,-8,2,17,00:59:22,"テーブル3",0002,"中山 洋子","揚げ物・煮物","たらばかに天婦羅","","",1950,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,"未設定"
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","茶碗蒸し","","",500,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,2,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり420","","",420,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","岩のり汁","","",280,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","燗酒・冷や2合","","",780,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","エクストラゴールド","","",500,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","緑茶ハイ","","",380,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",700,1,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401181359000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,243622F48F8F4E4AA9D020709EDE6380,
RB0120170401174924000,2017/04/01,19:16:48,10820,10180,801,0,0,0,0,0,0,0,0,10820,0,0,-1,2,24,01:27:24,"カウンター2，カウンター3",0002,"中山 洋子","揚げ物・煮物","めごち天婦羅","","",650,1,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,"未設定"
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,2,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎グラス","いいちこ        ","","",500,2,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎グラス","蘭              ","","",550,1,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,6,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,2,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,2,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","燗酒・冷や1合","","",380,1,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",1800,1,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",1000,1,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",880,1,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401174924000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,82B7191D2CBB4013A4B697E0BC12A6AB,
RB0120170401183953000,2017/04/01,19:22:05,12290,11460,910,0,0,0,0,0,0,0,0,12290,0,0,-2,3,20,00:42:12,"カウンター6，カウンター7，カウンター8",0002,"中山 洋子","にぎり","上にぎり","","",1350,2,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,"未設定"
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,3,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,2,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,2,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","ウーロンハイ","","",380,2,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",880,1,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",780,1,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",600,1,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
RB0120170401183953000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","開運 特別本醸造","","",580,1,0,0,-,0,A873BBE9BE1140C0B8E38BFA1049C43E,
